"participant","n_trial","slow10000","num.300","num.400","mean.tot","p_correct_block.practice_MappingA","p_correct_block.practice_MappingB","p_correct_block.test_MappingA","p_correct_block.test_MappingB","p_correct_bpool.practice","p_correct_bpool.test","prop_correct_cond.MappingA","prop_correct_cond.MappingB","p_correct_tot","d_practice_3","d_test_3","dscore_3","cond_ord","legendMappingA","legendMappingB"
"53",120,0,0,0,768.183333333333,1,0.85,0.975,0.875,0.925,0.925,0.983333333333333,0.866666666666667,0.925,0.996252571646319,0.768666324980078,0.882459448313199,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"54",120,0,0,0,957.158333333333,0.9,0.95,1,0.95,0.925,0.975,0.966666666666667,0.95,0.958333333333333,0.510292088821654,0.430096319557805,0.470194204189729,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"55",120,0,0,0,996.433333333333,1,0.85,0.975,0.925,0.925,0.95,0.983333333333333,0.9,0.941666666666667,1.22989514657241,0.682514711124314,0.956204928848361,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"56",120,0,0,0,812.891666666667,1,0.95,0.925,0.95,0.975,0.9375,0.95,0.95,0.95,0.536664264128405,0.858014248386723,0.697339256257564,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"57",120,0,0,1,732.208333333333,0.95,0.75,1,0.9,0.85,0.95,0.983333333333333,0.85,0.916666666666667,1.26571685607978,1.05505049229177,1.16038367418577,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"58",120,0,0,0,757.583333333333,0.95,0.8,0.95,0.875,0.875,0.9125,0.95,0.85,0.9,0.99663150362772,0.496872609829899,0.746752056728809,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"59",120,0,0,1,775.341666666667,1,0.8,0.975,0.9,0.9,0.9375,0.983333333333333,0.866666666666667,0.925,0.416616235113545,0.499578891295195,0.45809756320437,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"6",120,0,0,0,696.058333333333,1,1,0.95,0.975,1,0.9625,0.966666666666667,0.983333333333333,0.975,0.575103527307394,0.831133766164541,0.703118646735967,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"60",120,0,0,9,616.441666666667,1,0.9,0.975,0.925,0.95,0.95,0.983333333333333,0.916666666666667,0.95,0.0643803151295091,-0.144754635102324,-0.0401871599864073,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"61",120,0,0,0,1290.43333333333,0.9,0.7,1,0.775,0.8,0.8875,0.966666666666667,0.75,0.858333333333333,1.18450785268447,1.38906274844237,1.28678530056342,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"62",120,0,0,0,834.416666666667,1,0.85,0.975,0.95,0.925,0.9625,0.983333333333333,0.916666666666667,0.95,1.49576170699439,1.49394596729306,1.49485383714373,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"63",120,0,0,2,1005.69166666667,1,0.95,0.925,0.975,0.975,0.95,0.95,0.966666666666667,0.958333333333333,0.176299313550006,0.143267986306896,0.159783649928451,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"64",120,0,0,1,939.158333333333,0.9,0.95,0.975,0.9,0.925,0.9375,0.95,0.916666666666667,0.933333333333333,0.805759550267443,0.590969717189447,0.698364633728445,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"65",120,0,0,0,872.866666666667,1,0.85,1,0.975,0.925,0.9875,1,0.933333333333333,0.966666666666667,1.15237577188677,0.838633131419727,0.995504451653247,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"7",120,0,0,2,733.383333333333,1,0.9,0.95,0.95,0.95,0.95,0.966666666666667,0.933333333333333,0.95,0.645036365240879,0.509058227735221,0.57704729648805,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"8",120,0,0,0,848.475,1,0.95,0.975,0.85,0.975,0.9125,0.983333333333333,0.883333333333333,0.933333333333333,0.277212337281429,1.16272597696018,0.719969157120806,"MappingB_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
"9",120,0,0,0,865.875,0.95,0.75,0.975,0.8,0.85,0.8875,0.966666666666667,0.783333333333333,0.875,1.7779055423065,1.13367260415571,1.4557890732311,"MappingA_First","practiceWhitegood_and_testWhitegood","practiceWhitebad_and_testWhitebad"
